"","id","Specimen","Egg10","MyrmicaYN","Noperaiepittfall","Horigano","HGrass","Origanupatchdiameter","BV","BVR","BR","BF","NB"
"49",49,10,1,0,0,60,15,10,1,0,0,0,0
"50",50,10,1,0,0,40,25,20,1,1,1,0,0
"51",51,12,1,0,0,55,15,150,1,1,1,1,0
"52",52,10,1,0,0,70,25,180,1,0,0,0,0
"53",53,12,1,0,0,45,5,110,1,0,0,0,1
"54",54,12,1,0,0,40,5,70,1,0,0,1,0
"55",55,12,1,0,0,40,10,30,0,1,1,0,0
"56",56,12,1,0,0,50,15,80,1,1,1,1,1
"57",57,22,1,0,0,50,20,15,1,1,1,1,1
"58",58,1,0,1,6,45,15,150,1,0,0,0,0
"59",59,3,0,1,10,25,30,110,1,0,0,0,0
"60",60,3,0,1,2,60,15,160,1,0,1,1,0
"61",61,3,0,1,5,45,15,185,1,0,0,0,0
"62",62,4,0,1,1,60,12,10,0,0,1,0,0
"63",63,4,0,1,2,40,25,150,1,0,0,0,0
"64",64,4,0,1,1,15,3,3,0,0,0,0,1
"65",65,5,0,1,1,35,30,10,0,1,0,0,0
"66",66,5,0,1,20,45,10,180,1,0,0,1,0
"67",67,5,0,1,20,45,10,180,1,0,0,1,0
"68",68,5,0,1,2,45,35,70,1,0,0,0,0
"69",69,5,0,1,1,55,20,10,1,0,0,0,0
"70",70,12,0,1,1,55,20,10,1,0,0,0,0
"71",71,6,0,1,1,37.5,15,50,0,0,1,1,0
"72",72,6,0,1,5,25,15,100,0,1,0,0,1
"73",73,6,0,1,1,45,5,15,1,0,0,0,0
"74",74,6,0,1,1,40,3,15,1,0,0,0,1
"75",75,7,0,1,5,40,20,8,1,0,0,0,0
"76",76,7,0,1,2,30,15,150,1,0,0,0,0
"77",77,7,0,1,1,60,20,20,1,0,0,0,0
"78",78,10,0,1,1,60,20,20,1,0,0,0,0
"79",79,7,0,1,5,50,35,60,0,0,1,1,0
"80",80,7,0,1,5,40,25,100,1,0,0,0,0
"81",81,7,0,1,10,45,20,12,1,0,0,0,0
"82",82,8,0,1,10,50,5,120,1,0,0,0,0
"83",83,8,0,1,0,55,5,25,1,0,0,0,0
"84",84,8,0,1,5,35,8,70,1,0,0,1,0
"85",85,10,0,1,5,40,20,45,1,0,0,0,0
"86",86,10,0,1,2,75,5,120,1,0,0,0,0
"87",87,12,0,1,10,40,10,10,1,0,0,0,0
"88",88,10,0,1,1,60,5,20,1,0,0,1,0
"89",89,10,0,1,1,55,10,15,1,1,1,0,0
"90",90,10,0,1,5,45,10,100,1,0,0,0,0
"91",91,10,0,1,2,60,30,180,1,0,0,1,0
"92",92,10,0,1,5,45,20,80,1,1,0,0,0
"93",93,10,0,1,10,52.5,20,170,1,0,1,0,0
"94",94,12,0,1,2,40,5,20,1,0,0,0,0
"95",95,12,0,1,3,40,5,40,1,0,0,0,0
"96",96,12,0,1,5,55,15,50,1,0,0,1,0
"97",97,12,0,1,1,40,10,40,1,0,0,0,0
"98",98,12,0,1,1,55,15,60,1,0,1,1,0
"99",99,12,0,1,1,30,20,40,1,0,0,0,1
"100",100,12,0,1,13,45,13,170,1,0,0,0,0
"101",101,12,0,1,2,30,10,75,1,0,0,0,1
"102",102,12,0,1,2,40,18,15,1,0,0,0,0
"103",103,13,0,1,50,27.5,12,80,0,0,0,0,1
"104",104,13,0,1,2,75,10,100,1,1,1,1,1
"105",105,13,0,1,10,35,8,50,1,1,0,0,1
"106",106,14,0,1,10,35,8,50,1,1,0,0,1
"107",107,13,0,1,23,30,12,130,1,1,1,1,1
"108",108,13,0,1,2,40,7,100,1,1,0,0,1
"109",109,14,0,1,10,40,10,30,0,0,1,1,0
"110",110,14,0,1,2,30,6,40,1,1,0,0,1
"111",111,14,0,1,1,45,8,50,1,1,0,0,1
"112",112,16,0,1,5,35,10,120,1,1,1,0,0
"113",113,17,0,1,6,35,13,40,1,1,1,1,0
"114",114,17,0,1,6,35,13,40,0,0,0,0,0
"115",115,18,0,1,6,35,13,40,0,0,0,0,0
"116",116,17,0,1,1,20,8,30,1,1,1,1,1
"117",117,19,0,1,5,50,15,60,1,1,1,1,1
"118",118,19,0,1,5,50,14,40,1,1,1,1,1
"119",119,20,0,1,3,35,12,70,1,1,1,0,0
"120",120,21,0,1,5,20,15,70,1,0,1,0,0
"121",121,21,0,1,1,45,20,140,1,1,1,1,1
"122",122,21,0,1,10,70,30,80,1,1,1,1,1
"123",123,21,0,1,20,65,35,100,1,1,1,1,1
"124",124,1,1,1,2,35,35,60,1,0,0,0,0
"125",125,2,1,1,50,40,8,120,1,0,1,0,0
"126",126,2,1,1,50,30,5,40,1,0,0,0,0
"127",127,3,1,1,2,30,15,40,0,0,1,1,0
"128",128,3,1,1,2,45,15,180,1,0,0,0,0
"129",129,4,1,1,1,30,10,15,1,0,0,0,0
"130",130,4,1,1,3,70,10,50,1,1,0,0,0
"131",131,9,1,1,3,70,10,50,1,1,0,0,0
"132",132,4,1,1,1,50,20,40,1,0,0,0,0
"133",133,4,1,1,10,57.5,18,60,1,0,1,0,0
"134",134,4,1,1,10,20,25,120,1,0,0,0,0
"135",135,5,1,1,5,50,15,60,1,0,0,0,0
"136",136,5,1,1,1,35,15,45,1,0,0,0,0
"137",137,6,1,1,2,42.5,15,200,1,0,1,1,0
"138",138,6,1,1,2,45,3,45,0,0,1,0,0
"139",139,6,1,1,5,50,5,35,1,0,0,0,1
"140",140,6,1,1,10,50,5,40,0,1,0,0,0
"141",141,7,1,1,5,55,15,30,1,0,0,0,0
"142",142,7,1,1,5,70,35,15,0,1,1,0,0
"143",143,7,1,1,50,80,10,150,1,1,1,0,0
"144",144,8,1,1,5,40,25,100,1,0,0,0,0
"145",145,7,1,1,1,25,15,40,1,1,1,0,0
"146",146,7,1,1,1,25,15,40,1,1,1,0,0
"147",147,7,1,1,10,30,20,15,1,0,0,0,0
"148",148,8,1,1,1,50,20,50,1,0,1,0,0
"149",149,8,1,1,5,80,8,90,1,1,1,1,0
"150",150,9,1,1,1,60,35,80,1,1,1,1,1
"151",151,10,1,1,20,30,15,20,1,0,0,0,0
"152",152,10,1,1,1,60,5,20,1,0,0,0,0
"153",153,10,1,1,1,65,20,70,1,0,0,0,0
"154",154,10,1,1,2,40,5,50,1,0,0,0,1
"155",155,10,1,1,1,85,5,55,1,0,0,0,0
"156",156,10,1,1,10,40,10,10,1,0,0,0,0
"157",157,10,1,1,1,25,10,40,0,0,0,0,1
"158",158,10,1,1,5,30,25,150,1,0,0,0,1
"159",159,10,1,1,5,55,20,30,1,0,0,0,0
"160",160,10,1,1,1,90,5,80,1,1,1,0,0
"161",161,10,1,1,1,62.5,35,120,1,0,0,0,0
"162",162,12,1,1,1,70,5,80,1,0,0,0,0
"163",163,12,1,1,20,55,10,20,1,1,1,1,0
"164",164,12,1,1,1,60,18,35,1,1,0,1,0
"165",165,12,1,1,10,70,10,150,1,0,0,0,0
"166",166,12,1,1,20,70,10,130,1,1,1,1,0
"167",167,12,1,1,2,60,10,70,1,0,1,1,0
"168",168,13,1,1,100,40,8,30,0,1,1,0,0
"169",169,13,1,1,5,40,9,110,1,1,0,0,0
"170",170,13,1,1,5,50,10,50,1,1,1,1,0
"171",171,14,1,1,5,50,10,50,1,1,1,1,0
"172",172,13,1,1,20,65,10,70,1,1,1,1,0
"173",173,18,1,1,8,30,8,130,0,0,0,0,0
"174",174,14,1,1,5,50,7,50,1,1,1,1,0
"175",175,14,1,1,5,50,8,60,1,1,0,1,0
"176",176,14,1,1,6,40,14,30,1,1,1,0,0
"177",177,15,1,1,20,60,12,40,1,1,1,1,1
"178",178,15,1,1,20,65,6,40,1,1,1,1,1
"179",179,16,1,1,5,27.5,9,210,1,1,1,1,0
"180",180,16,1,1,5,35,10,130,1,1,1,0,0
"181",181,17,1,1,5,50,12,100,1,1,1,0,0
"182",182,17,1,1,5,50,12,100,1,1,1,0,0
"183",183,17,1,1,1,60,11,80,1,1,1,1,1
"184",184,20,1,1,1,60,11,80,0,0,0,0,0
"185",185,20,1,1,1,60,11,80,0,0,0,0,0
"186",186,17,1,1,12,70,10,180,1,1,1,1,1
"187",187,17,1,1,12,70,10,180,0,0,0,0,0
"188",188,18,1,1,12,70,10,180,0,0,0,0,0
"189",189,18,1,1,12,70,10,180,0,0,0,0,0
"190",190,17,1,1,6,60,8,50,1,1,1,1,0
"191",191,18,1,1,10,60,8,50,1,1,1,1,0
"192",192,18,1,1,15,40,7,90,1,1,1,1,1
"193",193,18,1,1,50,70,10,150,1,1,1,1,1
"194",194,18,1,1,50,70,10,150,0,0,0,0,0
"195",195,18,1,1,50,70,14,170,1,1,1,1,1
"196",196,20,1,1,15,20,12,70,1,1,1,1,1
"197",197,20,1,1,15,15,10,25,1,1,1,1,1
"198",198,20,1,1,15,10,8,20,1,1,1,1,1
"199",199,21,1,1,23,25,20,170,1,0,0,0,0
"200",200,21,1,1,100,35,20,15,1,1,1,1,1
"201",201,21,1,1,30,35,20,30,1,1,1,1,1
"202",202,21,1,1,5,30,25,25,1,1,1,1,1
"203",203,21,1,1,1,65,20,80,1,1,0,1,0
"204",204,21,1,1,1,25,20,20,1,1,1,0,0
"205",205,21,1,1,10,30,15,25,1,1,1,0,0
"206",206,21,1,1,10,30,15,25,0,0,0,0,0
"207",207,21,1,1,20,30,20,15,1,0,0,0,0
"208",208,21,1,1,50,40,15,20,0,0,1,1,0
"209",209,21,1,1,50,55,20,100,1,1,1,0,0
"210",210,21,1,1,50,55,20,100,0,0,0,0,0
"211",211,21,1,1,50,55,20,100,0,0,0,0,0
"212",212,23,1,1,50,40,25,210,1,1,1,1,1
"213",213,23,1,1,50,40,25,210,0,0,0,0,0
"214",214,23,1,1,50,35,15,200,1,1,1,0,0
